20201223,杨浦,鞍山,小户型，房龄新，楼层低，税费少！,380万,1室1厅 | 44.65平米 | 南 | 简装 | 低楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gKIDWfEFH_1.jpg.296x216.jpg
20201223,杨浦,鞍山,黄 金三楼+双轨交通+低总价好房+业主诚意出售房主自荐,200万,1室1厅 | 29.29平米 | 北 | 简装 | 中楼层(共5层) | 1958年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_weNo0udYR_1.jpg.296x216.jpg
20201223,杨浦,鞍山,打一+本溪路幼儿园+中间楼层+近紫荆广场房主自荐,288万,2室0厅 | 40.25平米 | 南 | 精装 | 中楼层(共5层) | 1973年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_UyZ04TPfq_1.jpg.296x216.jpg
20201223,杨浦,鞍山,我是本房维护人 8，10双轨交汇+双南大两房 看房方便,570万,2室2厅 | 84.41平米 | 南 | 简装 | 低楼层(共5层) | 1964年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5LkWO4usO_1.jpg.296x216.jpg
20201223,杨浦,鞍山,电梯高区，满五唯一，南北通，可拎包入住，诚意出售,560万,2室1厅 | 66.15平米 | 南 | 精装 | 高楼层(共25层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jwISCek4F_1.jpg.296x216.jpg
20201223,杨浦,鞍山,打一原建，南北两房，全明户型，满五唯一房主自荐,426万,2室1厅 | 56.2平米 | 南 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UwH40P600_1.jpg.296x216.jpg
20201223,杨浦,鞍山,边套全明户型+双南＋精装＋视野开阔+近地铁＋税费少房主自荐,560万,2室1厅 | 70.95平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2kJHODHJC_1.jpg.296x216.jpg
20201223,杨浦,鞍山,诚意出售，总价低，地段好，无抵押，周期短。,218万,1室1厅 | 34.87平米 | 南 | 简装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_r8vfBk16C_1.jpg.296x216.jpg
20201223,杨浦,鞍山,电梯高区，商圈繁华，地段优越，看房便利。,398万,1室1厅 | 67.26平米 | 南 | 简装 | 高楼层(共26层) | 1995年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-f3d13054-223c-4193-80cd-8c5fe9822e63.jpg.296x216.jpg
20201223,杨浦,鞍山,精装带地暖，明额可用，无遮挡，商圈繁华，地段优越,605万,2室1厅 | 88.74平米 | 东南 | 精装 | 低楼层(共25层) | 1998年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-9fe423f8-e5cb-460d-be4b-9199c361288c.jpg.296x216.jpg
20201223,杨浦,鞍山,近地铁，配套设施齐全，户型正气采光充足，精装修房主自荐,165万,1室0厅 | 27平米 | 南 | 精装 | 高楼层(共7层) | 1991年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_kcG7E4r6X.jpg.296x216.jpg
20201223,杨浦,鞍山,满五唯一，全南全明，东三墙，采光透气好,690万,2室2厅 | 99.97平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TPxS8lI5q_1.jpg.296x216.jpg
20201223,杨浦,鞍山,采光好+低楼层+带花园+接受置换+接受动迁客户可以接受,908万,2室2厅 | 106.25平米 | 南 | 精装 | 低楼层(共7层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CXTW74K04_1.jpg.296x216.jpg
20201223,杨浦,鞍山,品质小区，满五年，户型方正，南北全明，采光无遮挡房主自荐,1230万,3室2厅 | 140.21平米 | 南 | 精装 | 低楼层(共26层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2ZMHHFL0N_1.jpg.296x216.jpg
