20201223,闵行,闵浦,金硕河畔景园南区 电梯一房 新小区环境好 看房方便,173万,1室1厅 | 55.76平米 | 南 | 毛坯 | 高楼层(共17层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_weS0RbKss.jpg.296x216.jpg
20201223,闵行,闵浦,大两房南北通，小区中间位置，一手动迁税费低,330万,2室2厅 | 84.06平米 | 南 北 | 精装 | 低楼层(共14层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CVvToR5H5.jpg.296x216.jpg
20201223,闵行,闵浦,欣佳宝邸东区 2室2厅 南房主自荐,257万,2室2厅 | 76.2平米 | 南 | 精装 | 中楼层(共7层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_E9LNs1OGn_1.jpg.296x216.jpg
20201223,闵行,闵浦,原动迁，近地铁，小区花园旁，面积大，诚意出售房主自荐,170万,1室1厅 | 59.19平米 | 南 | 毛坯 | 低楼层(共14层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uz4Xz6GWx_1.jpg.296x216.jpg
20201223,闵行,闵浦,中楼层，纯毛坯从未住过，视野一览无余，无抵押户口房主自荐,225万,2室1厅 | 74.35平米 | 南 | 毛坯 | 中楼层(共9层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NEzALKr77.jpg.296x216.jpg
20201223,闵行,闵浦,精装修拎包入住+满五唯一税费少+ 近生活广场房主自荐,240万,2室1厅 | 71.03平米 | 南 | 精装 | 中楼层(共6层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gaWTjqg6R_1.jpg.296x216.jpg
20201223,闵行,闵浦,满五唯一，近地铁好位置，水语双南户型，店长首推房源,260万,2室1厅 | 76.85平米 | 南 | 毛坯 | 低楼层(共14层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WUoSVBmsc_1.jpg.296x216.jpg
20201223,闵行,闵浦,14年新小区，位置佳，楼层好，配套齐，毛坯交通便利。,188万,1室1厅 | 59.55平米 | 南 | 毛坯 | 低楼层(共18层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MC8ymrX9I_1.jpg.296x216.jpg
20201223,闵行,闵浦,户型正气，视野开阔，位置好，出行方便,285万,2室1厅 | 84.64平米 | 南 | 毛坯 | 中楼层(共14层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vrHAcxD4v_1.jpg.296x216.jpg
20201223,闵行,闵浦,电梯精装一房 功能分区明确 视野开阔 通风采光好房主自荐,175万,1室1厅 | 56平米 | 南 | 精装 | 低楼层(共17层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8bOwkutx5_1.jpg.296x216.jpg
