20201223,徐汇,徐家汇,内环内  电梯大三房   户型方正 全明户型 总价低,820万,3室2厅 | 123.54平米 | 南 | 简装 | 低楼层(共24层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_b16HSbuz5_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,经典复式＋南北通风＋位置安静＋高区景观＋近地铁,2050万,5室2厅 | 259.22平米 | 南 | 精装 | 高楼层(共15层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KV2nQmUHz_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,中间楼层+4/7地铁+带30万精装+视野无遮挡+Vip代理,669万,3室2厅 | 102.85平米 | 南 | 精装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8sQdTX4PG_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,中凯城市之光 +一层一户 +超大平层+外圆内方+全屋地暖房主自荐,5500万,5室2厅 | 403.91平米 | 南 | 精装 | 中楼层(共33层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ac1426fb-73ca-4ebc-80b2-cc930356ee7d_1000.jpg.296x216.jpg
20201223,徐汇,徐家汇,小高层稀有顶复，人车分流，待会所，南北通，诚售,1980万,4室2厅 | 259.22平米 | 南 北 | 其他 | 高楼层(共15层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e13b9375-a524-411f-9314-4453b555d0db_1000.jpg.296x216.jpg
20201223,徐汇,徐家汇,房屋全明，边套全明，中间楼层，诚意出售房主自荐,530万,1室1厅 | 48.51平米 | 南 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ZiLUQG2EE_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,都朝南，采光好，不对马路，带连体阳台。业主急售,898万,2室1厅 | 99.65平米 | 南 | 精装 | 低楼层(共21层) | 2000年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_Hyrx2liUS_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,中间楼层一室户！满二税少！采光好！,270万,1室0厅 | 32平米 | 南 | 简装 | 中楼层(共5层) | 1979年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ff271c41-2dba-4db2-a665-6ad9ebc2c6cc_1000.jpg.296x216.jpg
20201223,徐汇,徐家汇,徐家汇 师  南北通两房，售后公房满五唯一税费,650万,2室1厅 | 49.68平米 | 南 北 | 精装 | 低楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mhHGXeZLs_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,售后公房+满五不唯一+高楼层视野好+税费少,618万,2室1厅 | 52.98平米 | 南 | 简装 | 高楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RnkEsgP4B_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,曲径通幽，安静上乘户型精装修南北通一梯两户精致公房,680万,2室1厅 | 57.87平米 | 南 北 | 精装 | 中楼层(共5层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_X0atD8frK_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,徐家汇商圈，低总价电梯三房，不容错过房主自荐,1030万,3室2厅 | 142.02平米 | 南 | 精装 | 低楼层(共23层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/445e1fa4-0b97-4458-93ce-7c64e0ad79fc_1000.jpg.296x216.jpg
20201223,徐汇,徐家汇,徐家汇品质小区，满五年唯一，低总价，南北通三房房主自荐,1265万,3室2厅 | 141平米 | 南 | 精装 | 低楼层(共32层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/14b2b3b0-e9fb-4f9a-a75d-4b3e41778275_1000.jpg.296x216.jpg
20201223,徐汇,徐家汇,视野开阔，采光充足，配套设施完善，交通便利.房主自荐,390万,1室1厅 | 41.17平米 | 南 | 简装 | 中楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_n9p0j90U2_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,此房满五唯一，高区视野好，产权清晰新上,710万,2室1厅 | 62.04平米 | 东 南 | 毛坯 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RpM0CZhNl_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,满五唯一+边套全明户型+采光充足+北露台+4/7/12号线新上,730万,3室1厅 | 107.55平米 | 南 北 | 简装 | 中楼层(共6层) | 1958年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KE7DnVFqf_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,徐汇内环内  地铁口  电梯两房  通风采光好  视野好,700万,2室1厅 | 92.7平米 | 东 | 简装 | 高楼层(共18层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_roP5zZnW5_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,内环内，吴东小区单价lowest的2房，非顶楼,450万,2室1厅 | 66.26平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/9710e211-03a4-412d-8ace-f90a0da53674_1000.jpg.296x216.jpg
20201223,徐汇,徐家汇,精装全南三房 品质小区 99年竣工 刷卡到户 闹中取静房主自荐,1090万,3室2厅 | 165.74平米 | 东南 | 精装 | 低楼层(共24层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-687e2a32-ee70-4b8a-8dd8-ce611949717f.jpg.296x216.jpg
