20201223,徐汇,华东理工,边套全明三房一厅，南北通风，售后公房，税少,470万,3室1厅 | 82.86平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CbByRadSQ_1.jpg.296x216.jpg
20201223,徐汇,华东理工,温馨舒适 ，小区经典精装修两房。房主自荐,395万,2室1厅 | 65.24平米 | 南 北 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_FIabEkKib_1.jpg.296x216.jpg
20201223,徐汇,华东理工,高楼层，采光视野好，位置好，环境优美,190万,1室0厅 | 31.84平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tzTTDOrZ4_1.jpg.296x216.jpg
20201223,徐汇,华东理工,房型正气，视野宽阔，采光充足，配套齐全房主自荐,220万,1室1厅 | 44.01平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_ExrM5EKKC_1.jpg.296x216.jpg
20201223,徐汇,华东理工,地铁口97年房龄，一梯两户大一房，有钥匙，随时可看房主自荐,288万,1室1厅 | 57.45平米 | 南 | 毛坯 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kU3JoxR77_1.jpg.296x216.jpg
20201223,徐汇,华东理工,中间楼层  河景房 大一房 通风采光好 满五唯一税费少,300万,1室1厅 | 49.76平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_x9DHAo3nv_1.jpg.296x216.jpg
20201223,徐汇,华东理工,98年的商品房 正南全明户型 小区位置安静 格局优良房主自荐,315万,1室1厅 | 50.97平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7MpLJd05b_1.jpg.296x216.jpg
20201223,徐汇,华东理工,华理精装修小一房    位置安静   采光无遮挡房主自荐,278万,1室1厅 | 51.95平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yTzdRfR4M_1.jpg.296x216.jpg
20201223,徐汇,华东理工,正南一房小区位置安静，中间楼层，配套成熟，出行便利,260万,1室1厅 | 44.3平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9vvcee77M_1.jpg.296x216.jpg
20201223,徐汇,华东理工,小三房，两北一南，高楼层，配套成熟，近地铁。房主自荐,360万,3室0厅 | 67.47平米 | 南 北 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xpI1aJerb_1.jpg.296x216.jpg
20201223,徐汇,华东理工,此房 房型正气，低楼层不靠路，诚意出售,279万,2室1厅 | 52.2平米 | 南 | 毛坯 | 低楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FxnJZep23_1.jpg.296x216.jpg
20201223,徐汇,华东理工,梅陇四村电梯房经典户型，诚意出售！房主自荐,460万,2室2厅 | 97.37平米 | 南 | 简装 | 低楼层(共27层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_HDJdAA5mI_1.jpg.296x216.jpg
20201223,徐汇,华东理工,此房满五唯一，电梯房大两房，看房方便。,418万,2室1厅 | 84.27平米 | 南 | 简装 | 低楼层(共18层) | 1995年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_jgz4Wn9Xb_1.jpg.296x216.jpg
20201223,徐汇,华东理工,电梯双南两房，高楼层，无遮挡，空间大，居住舒适。,520万,2室2厅 | 97.84平米 | 南 | 简装 | 高楼层(共23层) | 1997年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_R3Nz1obUH_1.jpg.296x216.jpg
20201223,徐汇,华东理工,中间楼层采光好，老少皆宜居住，售后公房，满五唯一,390万,2室1厅 | 69.91平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_AiznElp2b_1.jpg.296x216.jpg
20201223,徐汇,华东理工,双向朝南，双阳台，满五唯一，装修好,480万,2室1厅 | 75.18平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Sk6HXtK5p_1.jpg.296x216.jpg
20201223,徐汇,华东理工,大两房，中间楼层，采大光通清风,550万,2室1厅 | 79平米 | 南 | 精装 | 6层 | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9ywJOqMBL_1.jpg.296x216.jpg
20201223,徐汇,华东理工,中间楼层 厨卫全明 主卧带阳台 不靠马路 房东诚意出售,329万,2室1厅 | 57.18平米 | 南 | 简装 | 中楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EwD92YVVk_1.jpg.296x216.jpg
20201223,徐汇,华东理工,中间楼层 全明户型 满五年 一梯两户,320万,2室1厅 | 61.38平米 | 西南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fR6sZ5yGg_1.jpg.296x216.jpg
